0041    LATIN CAPITAL LETTER A
0042    LATIN CAPITAL LETTER B
0043    LATIN CAPITAL LETTER C
0044    LATIN CAPITAL LETTER D
0045    LATIN CAPITAL LETTER E
0046    LATIN CAPITAL LETTER F
0047    LATIN CAPITAL LETTER G
0048    LATIN CAPITAL LETTER H
0049    LATIN CAPITAL LETTER I
004A    LATIN CAPITAL LETTER J
004B    LATIN CAPITAL LETTER K
004C    LATIN CAPITAL LETTER L
004D    LATIN CAPITAL LETTER M
004E    LATIN CAPITAL LETTER N
004F    LATIN CAPITAL LETTER O
0050    LATIN CAPITAL LETTER P
0051    LATIN CAPITAL LETTER Q
0052    LATIN CAPITAL LETTER R
0053    LATIN CAPITAL LETTER S
0054    LATIN CAPITAL LETTER T
0055    LATIN CAPITAL LETTER U
0056    LATIN CAPITAL LETTER V
0057    LATIN CAPITAL LETTER W
0058    LATIN CAPITAL LETTER X
0059    LATIN CAPITAL LETTER Y
005A    LATIN CAPITAL LETTER Z
0061    LATIN SMALL LETTER A
0062    LATIN SMALL LETTER B
0063    LATIN SMALL LETTER C
0064    LATIN SMALL LETTER D
0065    LATIN SMALL LETTER E
0066    LATIN SMALL LETTER F
0067    LATIN SMALL LETTER G
0068    LATIN SMALL LETTER H
0069    LATIN SMALL LETTER I
006A    LATIN SMALL LETTER J
006B    LATIN SMALL LETTER K
006C    LATIN SMALL LETTER L
006D    LATIN SMALL LETTER M
006E    LATIN SMALL LETTER N
006F    LATIN SMALL LETTER O
0070    LATIN SMALL LETTER P
0071    LATIN SMALL LETTER Q
0072    LATIN SMALL LETTER R
0073    LATIN SMALL LETTER S
0074    LATIN SMALL LETTER T
0075    LATIN SMALL LETTER U
0076    LATIN SMALL LETTER V
0077    LATIN SMALL LETTER W
0078    LATIN SMALL LETTER X
0079    LATIN SMALL LETTER Y
007A    LATIN SMALL LETTER Z
00C0    LATIN CAPITAL LETTER A WITH GRAVE
00C1    LATIN CAPITAL LETTER A WITH ACUTE
00C2    LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3    LATIN CAPITAL LETTER A WITH TILDE
00C4    LATIN CAPITAL LETTER A WITH DIAERESIS
00C5    LATIN CAPITAL LETTER A WITH RING ABOVE
00C6    LATIN CAPITAL LETTER AE
00C7    LATIN CAPITAL LETTER C WITH CEDILLA
00C8    LATIN CAPITAL LETTER E WITH GRAVE
00C9    LATIN CAPITAL LETTER E WITH ACUTE
00CA    LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB    LATIN CAPITAL LETTER E WITH DIAERESIS
00CC    LATIN CAPITAL LETTER I WITH GRAVE
00CD    LATIN CAPITAL LETTER I WITH ACUTE
00CE    LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF    LATIN CAPITAL LETTER I WITH DIAERESIS
00D0    LATIN CAPITAL LETTER ETH
00D1    LATIN CAPITAL LETTER N WITH TILDE
00D2    LATIN CAPITAL LETTER O WITH GRAVE
00D3    LATIN CAPITAL LETTER O WITH ACUTE
00D4    LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5    LATIN CAPITAL LETTER O WITH TILDE
00D6    LATIN CAPITAL LETTER O WITH DIAERESIS
00D8    LATIN CAPITAL LETTER O WITH STROKE
00D9    LATIN CAPITAL LETTER U WITH GRAVE
00DA    LATIN CAPITAL LETTER U WITH ACUTE
00DB    LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC    LATIN CAPITAL LETTER U WITH DIAERESIS
00DD    LATIN CAPITAL LETTER Y WITH ACUTE
00DE    LATIN CAPITAL LETTER THORN
00DF    LATIN SMALL LETTER SHARP S
00E0    LATIN SMALL LETTER A WITH GRAVE
00E1    LATIN SMALL LETTER A WITH ACUTE
00E2    LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3    LATIN SMALL LETTER A WITH TILDE
00E4    LATIN SMALL LETTER A WITH DIAERESIS
00E5    LATIN SMALL LETTER A WITH RING ABOVE
00E6    LATIN SMALL LETTER AE
00E7    LATIN SMALL LETTER C WITH CEDILLA
00E8    LATIN SMALL LETTER E WITH GRAVE
00E9    LATIN SMALL LETTER E WITH ACUTE
00EA    LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB    LATIN SMALL LETTER E WITH DIAERESIS
00EC    LATIN SMALL LETTER I WITH GRAVE
00ED    LATIN SMALL LETTER I WITH ACUTE
00EE    LATIN SMALL LETTER I WITH CIRCUMFLEX
00EF    LATIN SMALL LETTER I WITH DIAERESIS
00F0    LATIN SMALL LETTER ETH
00F1    LATIN SMALL LETTER N WITH TILDE
00F2    LATIN SMALL LETTER O WITH GRAVE
00F3    LATIN SMALL LETTER O WITH ACUTE
00F4    LATIN SMALL LETTER O WITH CIRCUMFLEX
00F5    LATIN SMALL LETTER O WITH TILDE
00F6    LATIN SMALL LETTER O WITH DIAERESIS
00F8    LATIN SMALL LETTER O WITH STROKE
00F9    LATIN SMALL LETTER U WITH GRAVE
00FA    LATIN SMALL LETTER U WITH ACUTE
00FB    LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC    LATIN SMALL LETTER U WITH DIAERESIS
00FD    LATIN SMALL LETTER Y WITH ACUTE
00FE    LATIN SMALL LETTER THORN
00FF    LATIN SMALL LETTER Y WITH DIAERESIS
0100    LATIN CAPITAL LETTER A WITH MACRON
0101    LATIN SMALL LETTER A WITH MACRON
0102    LATIN CAPITAL LETTER A WITH BREVE
0103    LATIN SMALL LETTER A WITH BREVE
0104    LATIN CAPITAL LETTER A WITH OGONEK
0105    LATIN SMALL LETTER A WITH OGONEK
0106    LATIN CAPITAL LETTER C WITH ACUTE
0107    LATIN SMALL LETTER C WITH ACUTE
0108    LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0109    LATIN SMALL LETTER C WITH CIRCUMFLEX
010A    LATIN CAPITAL LETTER C WITH DOT ABOVE
010B    LATIN SMALL LETTER C WITH DOT ABOVE
010C    LATIN CAPITAL LETTER C WITH CARON
010D    LATIN SMALL LETTER C WITH CARON
010E    LATIN CAPITAL LETTER D WITH CARON
010F    LATIN SMALL LETTER D WITH CARON
0110    LATIN CAPITAL LETTER D WITH STROKE
0111    LATIN SMALL LETTER D WITH STROKE
0112    LATIN CAPITAL LETTER E WITH MACRON
0113    LATIN SMALL LETTER E WITH MACRON
0114    LATIN CAPITAL LETTER E WITH BREVE
0115    LATIN SMALL LETTER E WITH BREVE
0116    LATIN CAPITAL LETTER E WITH DOT ABOVE
0117    LATIN SMALL LETTER E WITH DOT ABOVE
0118    LATIN CAPITAL LETTER E WITH OGONEK
0119    LATIN SMALL LETTER E WITH OGONEK
011A    LATIN CAPITAL LETTER E WITH CARON
011B    LATIN SMALL LETTER E WITH CARON
011C    LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011D    LATIN SMALL LETTER G WITH CIRCUMFLEX
011E    LATIN CAPITAL LETTER G WITH BREVE
011F    LATIN SMALL LETTER G WITH BREVE
0120    LATIN CAPITAL LETTER G WITH DOT ABOVE
0121    LATIN SMALL LETTER G WITH DOT ABOVE
0122    LATIN CAPITAL LETTER G WITH CEDILLA
0123    LATIN SMALL LETTER G WITH CEDILLA
0124    LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0125    LATIN SMALL LETTER H WITH CIRCUMFLEX
0126    LATIN CAPITAL LETTER H WITH STROKE
0127    LATIN SMALL LETTER H WITH STROKE
0128    LATIN CAPITAL LETTER I WITH TILDE
0129    LATIN SMALL LETTER I WITH TILDE
012A    LATIN CAPITAL LETTER I WITH MACRON
012B    LATIN SMALL LETTER I WITH MACRON
012C    LATIN CAPITAL LETTER I WITH BREVE
012D    LATIN SMALL LETTER I WITH BREVE
012E    LATIN CAPITAL LETTER I WITH OGONEK
012F    LATIN SMALL LETTER I WITH OGONEK
0130    LATIN CAPITAL LETTER I WITH DOT ABOVE
0131    LATIN SMALL LETTER DOTLESS I
0132    LATIN CAPITAL LIGATURE IJ
0133    LATIN SMALL LIGATURE IJ
0134    LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0135    LATIN SMALL LETTER J WITH CIRCUMFLEX
0136    LATIN CAPITAL LETTER K WITH CEDILLA
0137    LATIN SMALL LETTER K WITH CEDILLA
0138    LATIN SMALL LETTER KRA
0139    LATIN CAPITAL LETTER L WITH ACUTE
013A    LATIN SMALL LETTER L WITH ACUTE
013B    LATIN CAPITAL LETTER L WITH CEDILLA
013C    LATIN SMALL LETTER L WITH CEDILLA
013D    LATIN CAPITAL LETTER L WITH CARON
013E    LATIN SMALL LETTER L WITH CARON
013F    LATIN CAPITAL LETTER L WITH MIDDLE DOT
0140    LATIN SMALL LETTER L WITH MIDDLE DOT
0141    LATIN CAPITAL LETTER L WITH STROKE
0142    LATIN SMALL LETTER L WITH STROKE
0143    LATIN CAPITAL LETTER N WITH ACUTE
0144    LATIN SMALL LETTER N WITH ACUTE
0145    LATIN CAPITAL LETTER N WITH CEDILLA
0146    LATIN SMALL LETTER N WITH CEDILLA
