00BC    VULGAR FRACTION ONE QUARTER
00BD    VULGAR FRACTION ONE HALF
00BE    VULGAR FRACTION THREE QUARTERS
0B72    ORIYA FRACTION ONE QUARTER
0B73    ORIYA FRACTION ONE HALF
0B74    ORIYA FRACTION THREE QUARTERS
0B75    ORIYA FRACTION ONE SIXTEENTH
0B76    ORIYA FRACTION ONE EIGHTH
0B77    ORIYA FRACTION THREE SIXTEENTHS
0C78    TELUGU FRACTION DIGIT ZERO FOR ODD POWERS OF FOUR
0C79    TELUGU FRACTION DIGIT ONE FOR ODD POWERS OF FOUR
0C7A    TELUGU FRACTION DIGIT TWO FOR ODD POWERS OF FOUR
0C7B    TELUGU FRACTION DIGIT THREE FOR ODD POWERS OF FOUR
0C7C    TELUGU FRACTION DIGIT ONE FOR EVEN POWERS OF FOUR
0C7D    TELUGU FRACTION DIGIT TWO FOR EVEN POWERS OF FOUR
0C7E    TELUGU FRACTION DIGIT THREE FOR EVEN POWERS OF FOUR
0D73    MALAYALAM FRACTION ONE QUARTER
0D74    MALAYALAM FRACTION ONE HALF
0D75    MALAYALAM FRACTION THREE QUARTERS
2044    FRACTION SLASH
2150    VULGAR FRACTION ONE SEVENTH
2151    VULGAR FRACTION ONE NINTH
2152    VULGAR FRACTION ONE TENTH
2153    VULGAR FRACTION ONE THIRD
2154    VULGAR FRACTION TWO THIRDS
2155    VULGAR FRACTION ONE FIFTH
2156    VULGAR FRACTION TWO FIFTHS
2157    VULGAR FRACTION THREE FIFTHS
2158    VULGAR FRACTION FOUR FIFTHS
2159    VULGAR FRACTION ONE SIXTH
215A    VULGAR FRACTION FIVE SIXTHS
215B    VULGAR FRACTION ONE EIGHTH
215C    VULGAR FRACTION THREE EIGHTHS
215D    VULGAR FRACTION FIVE EIGHTHS
215E    VULGAR FRACTION SEVEN EIGHTHS
215F    FRACTION NUMERATOR ONE
2189    VULGAR FRACTION ZERO THIRDS
2CFD    COPTIC FRACTION ONE HALF
A830    NORTH INDIC FRACTION ONE QUARTER
A831    NORTH INDIC FRACTION ONE HALF
A832    NORTH INDIC FRACTION THREE QUARTERS
A833    NORTH INDIC FRACTION ONE SIXTEENTH
A834    NORTH INDIC FRACTION ONE EIGHTH
A835    NORTH INDIC FRACTION THREE SIXTEENTHS
10E7B    RUMI FRACTION ONE HALF
10E7C    RUMI FRACTION ONE QUARTER
10E7D    RUMI FRACTION ONE THIRD
10E7E    RUMI FRACTION TWO THIRDS
