002D	HYPHEN-MINUS
00AD	SOFT HYPHEN
058A	ARMENIAN HYPHEN
1806	MONGOLIAN TODO SOFT HYPHEN
1B60	BALINESE PAMENENG (line-breaking hyphen)
2010	HYPHEN
2011	NON-BREAKING HYPHEN
2012	FIGURE DASH
2013	EN DASH
2014	EM DASH
2027	HYPHENATION POINT
2043	HYPHEN BULLET
2053	SWUNG DASH
21E0	LEFTWARDS DASHED ARROW
21E1	UPWARDS DASHED ARROW
21E2	RIGHTWARDS DASHED ARROW
21E3	DOWNWARDS DASHED ARROW
2212    MINUS
229D	CIRCLED DASH
2448	OCR DASH
2504	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
2505	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
2508	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
2509	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
254C	BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
254D	BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
2E17	DOUBLE OBLIQUE HYPHEN
2E1A	HYPHEN WITH DIAERESIS
301C	WAVE DASH
3030	WAVY DASH
30A0	KATAKANA-HIRAGANA DOUBLE HYPHEN
FE49	DASHED OVERLINE
FE4D	DASHED LOW LINE
FE58	SMALL EM DASH
FE63	SMALL HYPHEN-MINUS
FF0D	FULLWIDTH HYPHEN-MINUS
